<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAA.US,D,20210324,000000,24.99,24.99,24.98,24.98,522,0
AAA.US,D,20210325,000000,24.98,24.98,24.98,24.98,84,0
AAA.US,D,20210326,000000,24.98,24.98,24.98,24.98,8,0
AAA.US,D,20210329,000000,24.97,24.97,24.97,24.97,500,0
AAA.US,D,20210330,000000,24.97,24.99,24.97,24.98,15540,0
AAA.US,D,20210331,000000,24.96,24.96,24.96,24.96,41,0
AAA.US,D,20210401,000000,24.96,24.96,24.96,24.96,105,0
AAA.US,D,20210405,000000,24.96,24.96,24.96,24.96,65,0
AAA.US,D,20210406,000000,24.97,24.975,24.97,24.975,5251,0
AAA.US,D,20210407,000000,24.98,24.98,24.97,24.97,776,0
AAA.US,D,20210408,000000,24.98,24.98,24.97,24.97,181,0
AAA.US,D,20210409,000000,24.98,24.98,24.97,24.97,102,0
AAA.US,D,20210412,000000,24.97,24.97,24.97,24.97,7,0
AAA.US,D,20210413,000000,24.97,24.97,24.95,24.96,4013,0
AAA.US,D,20210414,000000,24.97,24.97,24.96,24.96,195,0
AAA.US,D,20210415,000000,24.96,24.97,24.96,24.97,858,0
AAA.US,D,20210416,000000,24.972,24.98,24.97,24.97,2263,0
AAA.US,D,20210419,000000,24.97,24.97,24.97,24.97,78,0
AAA.US,D,20210420,000000,24.974,24.98,24.96,24.97,1292,0
AAA.US,D,20210421,000000,24.962,24.962,24.96,24.96,114,0
AAA.US,D,20210422,000000,24.963,24.97,24.96,24.96,201,0
AAA.US,D,20210423,000000,24.963,24.97,24.963,24.965,241,0
AAA.US,D,20210426,000000,24.96,24.96,24.955,24.955,189,0
AAA.US,D,20210427,000000,24.955,24.96,24.955,24.955,1420,0
AAA.US,D,20210428,000000,24.95,25.045,24.94,24.96,8238,0
AAA.US,D,20210429,000000,24.97,24.97,24.96,24.96,562,0
AAA.US,D,20210430,000000,24.96,24.96,24.96,24.96,60,0
AAA.US,D,20210503,000000,24.925,24.925,24.925,24.925,328,0
AAA.US,D,20210504,000000,24.95,24.95,24.94,24.94,2014,0
AAA.US,D,20210505,000000,24.928,24.928,24.89,24.905,15277,0
AAA.US,D,20210506,000000,24.92,24.92,24.92,24.92,107,0
AAA.US,D,20210507,000000,24.91,24.91,24.91,24.91,21,0
AAA.US,D,20210510,000000,24.931,24.931,24.93,24.93,122,0
AAA.US,D,20210511,000000,24.94,24.94,24.93,24.93,151,0
AAA.US,D,20210512,000000,24.94,24.94,24.919,24.92,1834,0
AAA.US,D,20210513,000000,24.94,25.12,24.925,24.925,330,0
AAA.US,D,20210514,000000,24.94,24.94,24.925,24.925,274,0
AAA.US,D,20210517,000000,24.925,24.925,24.925,24.925,44,0
AAA.US,D,20210518,000000,24.94,24.94,24.925,24.925,467,0
AAA.US,D,20210519,000000,24.925,24.94,24.91,24.925,7653,0
AAA.US,D,20210520,000000,24.92,24.935,24.92,24.935,1181,0
AAA.US,D,20210521,000000,24.935,24.935,24.935,24.935,100,0
AAA.US,D,20210524,000000,24.921,24.938,24.83,24.933,3372,0
AAA.US,D,20210525,000000,24.921,24.94,24.92,24.94,9310,0
AAA.US,D,20210526,000000,24.935,24.935,24.935,24.935,34,0
AAA.US,D,20210527,000000,24.95,24.95,24.92,24.935,1401,0
AAA.US,D,20210528,000000,24.935,24.94,24.925,24.925,3433,0
AAA.US,D,20210601,000000,24.94,24.94,24.91,24.925,10471,0
AAA.US,D,20210602,000000,24.937,24.937,24.937,24.937,105,0
AAA.US,D,20210603,000000,24.935,24.95,24.935,24.935,148,0
AAA.US,D,20210604,000000,24.95,24.95,24.935,24.935,238,0
AAA.US,D,20210607,000000,24.935,24.935,24.935,24.935,9,0
AAA.US,D,20210608,000000,24.935,24.95,24.935,24.935,112,0
AAA.US,D,20210609,000000,24.95,24.95,24.95,24.95,16,0
AAA.US,D,20210610,000000,24.96,24.96,24.945,24.945,612,0
AAA.US,D,20210611,000000,24.95,24.95,24.95,24.95,24,0
AAA.US,D,20210614,000000,24.946,24.95,24.946,24.95,166,0
AAA.US,D,20210615,000000,24.95,24.95,24.95,24.95,7,0
AAA.US,D,20210616,000000,24.96,24.96,24.955,24.955,133,0
AAA.US,D,20210617,000000,24.96,24.96,24.955,24.955,205,0
AAA.US,D,20210618,000000,24.97,24.98,24.97,24.98,599,0
AAA.US,D,20210621,000000,24.97,24.97,24.96,24.96,989,0
AAA.US,D,20210622,000000,24.95,24.97,24.95,24.965,2226,0
AAA.US,D,20210623,000000,24.94,24.98,24.94,24.945,1816,0
AAA.US,D,20210624,000000,24.96,24.96,24.96,24.96,70,0
AAA.US,D,20210625,000000,24.967,24.98,24.955,24.955,1234,0
AAA.US,D,20210628,000000,24.98,24.98,24.95,24.96,1405,0
AAA.US,D,20210629,000000,24.98,24.98,24.96,24.96,2786,0
